,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
0,MOBGMFFX5XYE8MZN,Samsung,"Samsung Galaxy S23 5G (Cream, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '15.49 cm (6.1 inch) Full HD+ Display', '50MP + 10MP + 12MP | 12MP Front Camera', '3900 mAh Lithium Ion Battery', 'Qualcomm Snapdragon 8 Gen 2 Processor']",89999.0,49999.0,"{'average': 4.5, 'count': 13712, 'reviewCount': 1253, 'breakup': [708, 176, 397, 2191, 10240]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/7/n/-original-imagzm8qzhpuwrak.jpeg?q=90,Samsung Galaxy S23 5G ,6.1,Full HD+,8,128,Cream,Qualcomm Snapdragon 8 Gen 2 Processor,3900,4.5,50,12
1,MOBHY9PQMNCMDVCD,Motorola,"Motorola G85 5G (Olive Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 8MP | 32MP Front Camera', '5000 mAh Battery', '6s Gen 3 Processor']",20999.0,17999.0,"{'average': 4.4, 'count': 19290, 'reviewCount': 973, 'breakup': [1039, 397, 863, 3649, 13342]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/l/u/-original-imah2fjd7wfd9ksh.jpeg?q=90,Motorola G85 5G ,6.67,Full HD+,8,128,Olive Green,6s Gen 3 Processor,5000,4.4,50,32
5,MOBGY2JUGGJZJQNK,Motorola,"Motorola G64 5G (Ice Lilac, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '6000 mAh Battery', 'Dimensity 7025 Processor']",19999.0,16999.0,"{'average': 4.2, 'count': 16352, 'reviewCount': 970, 'breakup': [1540, 491, 1138, 3688, 9495]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/j/h/g64-5g-pb2e0007in-motorola-original-imagzzd8yfqrkgkw.jpeg?q=90,Motorola G64 5G ,6.5,Full HD+,12,256,Ice Lilac,Dimensity 7025 Processor,6000,4.2,50,16
6,MOBGY2JUPSSWCZEJ,Motorola,"Motorola G64 5G (Mint Green, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '6000 mAh Battery', 'Dimensity 7025 Processor']",19999.0,16999.0,"{'average': 4.2, 'count': 16352, 'reviewCount': 970, 'breakup': [1540, 491, 1138, 3688, 9495]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/b/s/g64-5g-pb2e0005in-motorola-original-imagzzd5zagkg9gu.jpeg?q=90,Motorola G64 5G ,6.5,Full HD+,12,256,Mint Green,Dimensity 7025 Processor,6000,4.2,50,16
7,MOBHY9PQZACQBKGG,Motorola,"Motorola G04S (Sea Green, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T606 Processor']",9999.0,6999.0,"{'average': 4.2, 'count': 13447, 'reviewCount': 690, 'breakup': [963, 431, 1050, 3089, 7914]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/e/t/5/g04s-pb360001in-motorola-original-imahfc48ru2ktzsx.jpeg?q=90,Motorola G04S ,6.6,HD+,4,64,Sea Green,T606 Processor,5000,4.2,50,5
8,MOBGXTYZZEW8GZE6,Motorola,"Motorola Edge 50 Fusion (Forest Blue, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 13MP | 32MP Front Camera', '5000 mAh Battery', '7s Gen 2 Processor']",27999.0,24999.0,"{'average': 4.4, 'count': 31654, 'reviewCount': 2171, 'breakup': [1832, 590, 1351, 5809, 22072]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/w/r/edge-50-fusion-pb300000in-motorola-original-imahywzztyktktpp.jpeg?q=90,Motorola Edge 50 Fusion ,6.7,Full HD+,12,256,Forest Blue,7s Gen 2 Processor,5000,4.4,50,32
9,MOBGW4HKVU4ZGZFZ,Redmi,"Redmi 13C (Stardust Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",11999.0,7699.0,"{'average': 4.3, 'count': 37776, 'reviewCount': 1552, 'breakup': [2423, 1232, 3218, 8410, 22493]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/v/e/a/-original-imahfk4xuk7ntphs.jpeg?q=90,Redmi 13C ,6.74,HD+,4,128,Stardust Black,Helio G85 Processor,5000,4.3,50,8
10,MOBHY9PQM9H8HMEN,Motorola,"Motorola G04S (Satin Blue, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T606 Processor']",9999.0,6999.0,"{'average': 4.2, 'count': 13447, 'reviewCount': 690, 'breakup': [963, 431, 1050, 3089, 7914]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/k/4/g04s-pb360002in-motorola-original-imahfc48wgbttfkk.jpeg?q=90,Motorola G04S ,6.6,HD+,4,64,Satin Blue,T606 Processor,5000,4.2,50,5
12,MOBGXTYZBAS4VM8K,Motorola,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 13MP | 32MP Front Camera', '5000 mAh Battery', '7s Gen 2 Processor']",27999.0,24999.0,"{'average': 4.4, 'count': 31654, 'reviewCount': 2171, 'breakup': [1832, 590, 1351, 5809, 22072]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/5/t/j/edge-50-fusion-pb300002in-motorola-original-imahywzrfagkuyxx.jpeg?q=90,Motorola Edge 50 Fusion ,6.7,Full HD+,12,256,Marshmallow Blue,7s Gen 2 Processor,5000,4.4,50,32
13,MOBGWUHSZKWBZQWJ,Redmi,"Redmi 13C (Starfrost White, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",11999.0,7699.0,"{'average': 4.3, 'count': 37776, 'reviewCount': 1552, 'breakup': [2423, 1232, 3218, 8410, 22493]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/t/f/a/-original-imahfk4xp4xcggyt.jpeg?q=90,Redmi 13C ,6.74,HD+,4,128,Starfrost White,Helio G85 Processor,5000,4.3,50,8
