product_name,prices,discount_percent,stars,rating,total_purchased,deal,device_setup
"ZEBRONICS PRO Series Z NBC 4S, Intel Core 12th Gen i5 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg","₹31,990₹31,990",(49% off),3.6 out of 5 stars,99,100+ bought in past month,Save extra with No Cost EMI,No data
"ASUS Vivobook Pro 15 OLED, AMD Ryzen 7 5800H, 15.6"" (39.6 cm) OLED, Creator/Gaming Laptop, Thin & Light Laptop (16GB/1TB SSD/4GB RTX 3050/Win11/Fingerprint/Silver/1.65 kg),M3500QC-L1712WS","₹76,890₹76,890",(31% off),4.0 out of 5 stars,62,No data,Save extra with No Cost EMI,Service: Device Setup
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","₹17,499₹17,499",(81% off),3.8 out of 5 stars,67,50+ bought in past month,Save extra with No Cost EMI,No data
"ASUS Chromebook CM14, Octa-Core MediaTek Kompanio 520, 14"" (35.56 Cms) FHD, Thin and Light Chromebook (8GB RAM/128GB eMMC Storage/Chrome OS/Gray/1.45 Kg), CM1402CM2A-EK0085","₹28,326₹28,326",(34% off),4.4 out of 5 stars,4,No data,Save extra with No Cost EMI,No data
"Acer One 14 AMD Ryzen 3 3250U Processor (8GB RAM/512GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Laptop Z2-493 with 35.56 cm (14.0"") HD Display","₹25,990₹25,990",(35% off),3.8 out of 5 stars,389,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Pavilion 14, 12th Gen Intel Core i5-1235U,14-inch (35.6 cm),FHD,Touchscreen,16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.41 kg),dv2041TU","₹65,499₹65,499",(16% off),4.2 out of 5 stars,67,No data,Save extra with No Cost EMI,Service: Device Setup
"(Refurbished) HP Chromebook C640 10th Gen Intel Core i5 FHD Thin & Light Touchscreen Laptop (8 GB DDR4 RAM/64 GB eMMC SSD + 128 GB MicroSD Card/14"" (35.6 cm) FHD/Chrome OS/WiFi/BT/Webcam/Intel Graphics)","₹17,999₹17,999",(80% off),3.7 out of 5 stars,36,50+ bought in past month,Save extra with No Cost EMI,No data
"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU","₹49,951₹49,951",(21% off),4.1 out of 5 stars,160,No data,Save extra with No Cost EMI,Service: Device Setup
"(Refurbished) ASUS [Smartchoice] ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Intel Core i7-13650HX, Gaming Laptop(16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4060 /Win 11/MSO 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS","₹1,18,991₹1,18,991",(15% off),5.0 out of 5 stars,1,No data,Save extra with No Cost EMI,No data
"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,B&O,9ms response time(Blue, 2.29 kg),fa1373TX/fa1227TX","₹60,899₹60,899",(23% off),4.1 out of 5 stars,419,100+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-613IN","₹32,980₹32,980",(53% off),4.3 out of 5 stars,42,No data,Save extra with No Cost EMI,Service: Device Setup
"Primebook 4G, 2024(NEW, Wifi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/64GB eMMC Storage, Black)","₹14,990₹14,990",(40% off),4.1 out of 5 stars,29,No data,Save extra with No Cost EMI,No data
"ASUS Vivobook 16, Intel®Core™ i3-1215U 12th Gen, 16"" (40.64 cm) FHD+, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB342WS","₹40,990₹40,990",(35% off),4.1 out of 5 stars,792,No data,Save extra with No Cost EMI,Service: Device Setup
