,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review,rear_camera,front_camera
0,0,"Motorola Edge 50 Fusion (Hot Pink, 128 Gb)",22999,25999,11,4.5,"24,505 Ratings & 1,465 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB,128 GB,,Hot Pink,7s Gen 2 Processor,5000 mAh Battery,24505,1465,50MP,32MP
1,1,"Motorola G34 5G (Ice Blue, 128 Gb)",11999,14999,20,4.2,"1,06,420 Ratings & 7,385 Reviews",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G34 5G ,50MP + 2MP | 16MP Front Camera,16.51,6.5,HD+,8 GB,128 GB,,Ice Blue,Snapdragon 695 5G Processor,5000 mAh Battery,106420,7385,50MP,16MP
2,2,"Vivo T3X 5G (Celestial Green, 128 Gb)",14999,18999,21,4.5,"37,077 Ratings & 1,139 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Vivo,Vivo T3X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,6 GB,128 GB,1 TB,Celestial Green,6 Gen 1 Processor,6000 mAh Battery,37077,1139,50MP,8MP
3,3,"Poco M6 Pro 5G (Power Black, 128 Gb)",9999,16999,41,4.2,"1,15,856 Ratings & 7,124 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Poco,Poco M6 Pro 5G ,50MP + 2MP | 8MP Front Camera,17.25,6.79,Full HD+,6 GB,128 GB,1 TB,Power Black,Snapdragon 4 Gen 2 Processor,5000 mAh Battery,115856,7124,50MP,8MP
4,4,"Apple Iphone 15 (Black, 128 Gb)",71999,79900,9,4.6,"43,305 Ratings & 2,336 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",Apple,Apple Iphone 15 ,48MP + 12MP | 12MP Front Camera,15.49,6.1,Super Retina XDR,6 GB,128 GB,,Black,A16 Bionic Processor,3349 mAh Battery,43305,2336,48MP,12MP
5,5,"Motorola G34 5G (Charcoal Black, 128 Gb)",11999,14999,20,4.2,"1,06,420 Ratings & 7,385 Reviews",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G34 5G ,50MP + 2MP | 16MP Front Camera,16.51,6.5,HD+,8 GB,128 GB,,Charcoal Black,Snapdragon 695 5G Processor,5000 mAh Battery,106420,7385,50MP,16MP
6,6,"Poco C65 (Pastel Blue, 128 Gb)",6999,10999,36,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Poco,Poco C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Pastel Blue,Helio G85 Processor,5000 mAh Battery,36708,1960,50MP,8MP
7,7,"Vivo T3X 5G (Crimson Bliss, 128 Gb)",13499,17499,22,4.5,"11,216 Ratings & 357 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Vivo,Vivo T3X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,4 GB,128 GB,1 TB,Crimson Bliss,6 Gen 1 Processor,6000 mAh Battery,11216,357,50MP,8MP
8,8,"Vivo T3X 5G (Celestial Green, 128 Gb)",13499,17499,22,4.5,"11,216 Ratings & 357 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Vivo,Vivo T3X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,4 GB,128 GB,1 TB,Celestial Green,6 Gen 1 Processor,6000 mAh Battery,11216,357,50MP,8MP
9,9,"Vivo T3X 5G (Celestial Green, 128 Gb)",16499,20499,19,4.4,"8,328 Ratings & 375 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Vivo,Vivo T3X 5G ,50MP + 2MP | 8MP Front Camera,17.07,6.72,Full HD+,8 GB,128 GB,1 TB,Celestial Green,6 Gen 1 Processor,6000 mAh Battery,8328,375,50MP,8MP
