,title,price,original_price,discount,star,review,description
0,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹22,999","₹25,999",11% off,4.5,"24,505 Ratings & 1,465 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
1,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999","₹14,999",20% off,4.2,"1,06,420 Ratings & 7,385 Reviews",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories
2,"vivo T3x 5G (Celestial Green, 128 GB)","₹14,999","₹18,999",21% off,4.5,"37,077 Ratings & 1,139 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
3,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999","₹16,999",41% off,4.2,"1,15,856 Ratings & 7,124 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
4,"Apple iPhone 15 (Black, 128 GB)","₹71,999","₹79,900",9% off,4.6,"43,305 Ratings & 2,336 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
5,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999","₹14,999",20% off,4.2,"1,06,420 Ratings & 7,385 Reviews",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories
6,"POCO C65 (Pastel Blue, 128 GB)","₹6,999","₹10,999",36% off,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
7,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹13,499","₹17,499",22% off,4.5,"11,216 Ratings & 357 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
8,"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499","₹17,499",22% off,4.5,"11,216 Ratings & 357 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
9,"vivo T3x 5G (Celestial Green, 128 GB)","₹16,499","₹20,499",19% off,4.4,"8,328 Ratings & 375 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
10,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,390","₹1,599",13% off,4.1,"1,06,392 Ratings & 6,601 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase
11,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999","₹18,999",21% off,4.5,"37,077 Ratings & 1,139 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
12,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,358","₹1,599",15% off,4.1,"1,06,392 Ratings & 6,601 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase
13,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,283","₹1,599",19% off,4.1,"1,06,392 Ratings & 6,601 Reviews",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO Warranty
14,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹16,499","₹20,499",19% off,4.4,"8,328 Ratings & 375 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
15,"Motorola g64 5G (Pearl Blue, 128 GB)","₹14,999","₹17,999",16% off,4.2,"18,729 Ratings & 988 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
16,"POCO C65 (Matte Black, 128 GB)","₹6,999","₹10,999",36% off,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
17,"Motorola g64 5G (Ice Lilac, 128 GB)","₹14,999","₹17,999",16% off,4.2,"18,729 Ratings & 988 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
18,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999","₹27,999",10% off,4.5,"19,990 Ratings & 1,343 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories
19,"Motorola g04s (Satin Blue, 64 GB)","₹6,999","₹9,999",30% off,4.2,"7,600 Ratings & 422 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories
20,"Apple iPhone 15 (Blue, 128 GB)","₹71,999","₹79,900",9% off,4.6,"43,305 Ratings & 2,336 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories"
21,"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹44,999","₹79,999",43% off,4.3,"9,896 Ratings & 649 Reviews",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
22,"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹31,999","₹36,999",13% off,4.4,"20,867 Ratings & 1,831 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
23,"REDMI 13C (Stardust Black, 128 GB)","₹7,699","₹11,999",35% off,4.2,"31,262 Ratings & 1,309 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
24,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999","₹18,999",21% off,4.4,"4,793 Ratings & 209 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
25,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999","₹18,999",21% off,4.4,"4,793 Ratings & 209 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
26,"Motorola g64 5G (Ice Lilac, 256 GB)","₹16,999","₹19,999",15% off,4.2,"11,533 Ratings & 693 Reviews",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories
27,"POCO C65 (Pastel Green, 128 GB)","₹6,999","₹10,999",36% off,4.3,"36,708 Ratings & 1,960 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
28,"realme 12x 5G (Woodland Green, 128 GB)","₹13,499","₹17,999",25% off,4.4,"36,342 Ratings & 1,669 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
